0,1,2
4,"Amritsar
Bench(1)","-Districts of Amritsar,
Bhatinda, Faridkot, Firozpur,
Gurdaspur, Hoshiarpur,
Jalandhar and Kapurthala of
Punjab."
5,"Bangalore
Benches(3)","Karnataka (excluding
the Districts of
Belgaum,Mangalore, Karwar
and North Kanara)."
6,"Calcutta
Benches(5)","-West Bengal
-Sikkim
-Union Territory of Andaman
and Nicobar Islands."
7,"Chandigarh
Benches (2)","-Punjab (excluding the
Districts of Amritsar,
Faridkot, Firozpur, Gurdaspur,
Hoshiarpur, Kapurthala).
Haryana (excluding Districts
Faridabad, Jhajjar, Karnal,
Mohindergarh, Panipat,
Rewari, Rohtak and Sonepat).-
Himachal Pradesh.
-Union Territory of Chandigarh."
8,"Chennai
Benches(4)","Tamil Nadu.-Union Territory of
Pondicherry excluding Mahe."
9,"Cochhin Bench
(1)","-Kerala.
-Union Territories of
Lakshadweep, Minicoy and
Amindivi Islands.
-Mahe of the Union Territory of
Pondicherry."
