0,1,2
"S.
No.","Name &
Number","Districts/States/Union
Territories"
1,"Agra Bench
(1)","Districts of Agra, Aligarh, Etah,
Etawah, Farrukhabad,
Firozabad, Jalaun, Jhansi,
Lalitpur, Mahamayanagar,
Mainpuri and Mathura of
Uttar Pradesh. - Bihind, Datia
Gunna, Gwalior, Morena and
Shivpuri Districts of Madhya
Pradesh"
