0,1
Mr. A,Mr. B
"Value of unfurnished
accommodation
License fee as
determined by
government-
Rs. 6,000/- per year
Less amount paid-
Rs. 6,000/- per year
Therefore, value of
this perquisite is Nil.","Value of unfurnished
accommodation:
License fee as
determined by
government:-
Rs. 6000/- per year
Plus value of furniture
and fixtures:
10% of cost per
annum- Rs. 2000/-
per year"
