0,1
Category of e-TDS return,Upload charges
"Returns having up to 100 deductees
records",Rs.25/-
"Returns having 101 to 1000 deductees
records",Rs. 150/-
"Returns having more than 1000
deductees records",Rs.500/-
"Tax as applicable will also be paid by
the deductor.",
